"Gekozen functie: separate_traject, 6505.285714285714"
"Gekozen functie: delete_last_connection, 6518.285714285714"
"Gekozen functie: delete_last_connection, 6524.285714285714"
"Gekozen functie: change_start_station, 6530.285714285714"
Gekozen functie: separate_traject
"Gekozen functie: change_start_station, 6542.285714285714"
Gekozen functie: change_start_station
"Gekozen functie: change_start_station, 6558.285714285714"
